Dose,Scototaxis,ErraticSwimming,Speed,RiskAssessment,Thigmotaxis,Emotionality_Score
0,266.7182,17.76961,8.01025,20,16.6894444444444,0.309876572788505
0,241.5574,17.54307,8.057036,17,25.8896666666667,-0.379973729934524
0,152.8376,19.50224,7.626037,11,5.70744444444444,0.23183670042055
0,225.0834,18.35015,6.41597,40,7.45733333333333,-0.213642273102385
0,289.6386,19.34547,9.552389,85,6.61411111111111,0.498245792769053
0.1,337.144554,17.89927725,5.934324,9,9.90466666666667,-0.555077260728603
0.1,327.5297,18.23204,6.189695,13,15.3722222222222,-0.248716155283836
0.1,286.06392,13.52835,7.493861,7,2.47822222222222,-1.4059282416914
0.1,106.274892,10.82097,4.9083,3,0.0,-2.0765779492959
0.1,123.668,16.23524,7.384132,4,9.11344444444445,-0.57273528298755
0.1,134.2197,13.60523,6.084537,15,7.73488888888889,-1.28275726934246
0.1,447.779,15.9689,8.286992,11,29.1022222222222,-0.792911354727602
0.1,100.967,18.60257,7.513447,20,0.902777777777778,0.0409664405500417
0.1,153.73294,15.21895,20.34472,17,0.216,-0.837349441185853
0.1,317.0486,18.36111,7.509988,7,10.4414444444444,-0.618669763868697
1,366.1585,17.20151,7.234414,11,7.074,-0.884753133633098
1,514.1355,19.46471,7.623687,10,24.5478888888889,-0.112720689726029
1,589.6291,22.48566,3.960415,1,21.9604444444444,0.40290769540783
1,356.9166,18.2744,5.357357,36,4.16588888888889,-0.438872944407964
1,283.1058,19.90953,6.136389,14,1.67977777777778,-0.0575852971956773
10,33.0432,19.76836,9.704005,11,13.2481111111111,0.810350981315538
10,78.4691,18.84693,7.40947,7,7.66122222222222,0.249864169845958
10,17.18184,6.352629,7.665572,2,0.0,-3.36174020024295
10,1.62381,6.097878,7.050983,1,0.0,-3.40399274437996
10,50.3216,12.04242,5.864702,5,1.22922222222222,-1.78851485125357
