"PIC","Chrysin","Scototaxis","Erratic swimming","Swimming speed","Risk assessment"
"0 mg/kg","0 mg/kg",85.38884,16.06034,9.658013,1.0
"0 mg/kg","0 mg/kg",501.9676,19.3424,13.81075,18.0
"0 mg/kg","0 mg/kg",620.8003,16.92884,5.343346,6.0
"0 mg/kg","0 mg/kg",66.98244,14.78211,10.42572,13.0
"0 mg/kg","0 mg/kg",279.0797,16.25896,6.460494,11.0
"0 mg/kg","0 mg/kg",62.72672,19.67248,10.62265,14.0
"0 mg/kg","0 mg/kg",87.0642,23.71744,11.43198,32.0
"0 mg/kg","0 mg/kg",467.7115,20.0875,9.263332,11.0
"0 mg/kg","0 mg/kg",59.23452,22.07351,11.48376,2.0
"0 mg/kg","0 mg/kg",296.5279,19.17114,6.40439,24.0
"1 mg/kg","1 mg/kg",374.3389,19.81464,6.1651,1.0
"1 mg/kg","1 mg/kg",183.6075,18.91173,9.571378,3.0
"1 mg/kg","1 mg/kg",446.0479,21.2163,8.409449,6.0
"1 mg/kg","1 mg/kg",229.0021,18.48466,6.427643,13.0
"1 mg/kg","1 mg/kg",473.1674,5.983354,25.47451,11.0
"1 mg/kg","1 mg/kg",392.7788,18.60712,7.199298,1.0
"1 mg/kg","1 mg/kg",378.7872,19.89306,7.356055,38.0
"1 mg/kg","1 mg/kg",249.2116,15.78358,6.077186,6.0
"1 mg/kg","1 mg/kg",303.3948,21.72243,5.601161,13.0
"1 mg/kg","1 mg/kg",254.533,19.89309,5.852231,11.0
"1 mg/kg","0 mg/kg",88.7101,19.13208,15.53568,3.0
"1 mg/kg","0 mg/kg",310.7075,16.86903,8.714611,1.0
"1 mg/kg","0 mg/kg",95.9086,19.08213,14.87295,0.0
"1 mg/kg","0 mg/kg",715.7093,17.22865,14.34333,2.0
"1 mg/kg","0 mg/kg",251.1131,19.1152,9.395267,62.0
"1 mg/kg","0 mg/kg",0.829305,18.98342,5.954599,6.0
"1 mg/kg","0 mg/kg",352.5389,17.81139,7.130375,30.0
"1 mg/kg","0 mg/kg",902.329,23.21593,8.367167,1.0
"1 mg/kg","0 mg/kg",817.3055,16.5617,7.096731,2.0
"1 mg/kg","0 mg/kg",345.3699,22.81716,7.286197,10.0
"0 mg/kg","1 mg/kg",366.1585,17.20151,7.234414,40.0
"0 mg/kg","1 mg/kg",514.1355,19.46471,7.623687,63.0
"0 mg/kg","1 mg/kg",589.6291,22.48566,3.960415,20.0
"0 mg/kg","1 mg/kg",356.9166,18.2744,5.357357,48.0
"0 mg/kg","1 mg/kg",283.1058,19.90953,6.136389,9.0
"0 mg/kg","1 mg/kg",858.7101,19.13208,15.53568,31.0
"0 mg/kg","1 mg/kg",610.7075,16.86903,8.714611,81.0
"0 mg/kg","1 mg/kg",905.9086,19.08213,14.87295,19.0
"0 mg/kg","1 mg/kg",715.7093,17.22865,14.34333,36.0
"0 mg/kg","1 mg/kg",251.1131,19.1152,9.395267,61.0
"0 mg/kg","1 mg/kg",0.829305,18.98342,5.954599,14.0
"0 mg/kg","1 mg/kg",352.5389,17.81139,7.130375,32.0
"0 mg/kg","1 mg/kg",902.329,23.21593,8.367167,11.0
"0 mg/kg","1 mg/kg",817.3055,16.5617,7.096731,25.0
"0 mg/kg","1 mg/kg",345.3699,22.81716,7.286197,24.0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
